Accession	Description	Gene Symbol	Corrected Abundance ratio (1.53)	Log2 Corrected Abundance Ratio	Abundance Ratio Adj. P-Value: (127. T3 Tc WT) / (126. T0 WT)	LOG10 Adj.P-val
P75936	Basal-body rod modification protein FlgD OS=Escherichia coli (strain K12) OX=83333 GN=flgD PE=3 SV=1	flgD	0.075816993	-3.721334942	5.49456E-05	4.260067469
P76231	Uncharacterized protein YeaC OS=Escherichia coli (strain K12) OX=83333 GN=yeaC PE=4 SV=2	yeaC	0.092810458	-3.429568818	0.000351053	3.45462743
P0A8S9	Flagellar transcriptional regulator FlhD OS=Escherichia coli (strain K12) OX=83333 GN=flhD PE=1 SV=1	flhD	0.102614379	-3.284695189	2.67979E-05	4.571899347
P0CE48	Elongation factor Tu 2 OS=Escherichia coli (strain K12) OX=83333 GN=tufB PE=1 SV=1	tufB	#VALEUR!	#VALEUR!		#VALEUR!
P05706	PTS system glucitol/sorbitol-specific EIIA component OS=Escherichia coli (strain K12) OX=83333 GN=srlB PE=1 SV=1	srlB	0.108496732	-3.204276506	0.0199633	1.699767669
P29744	Flagellar hook-associated protein 3 OS=Escherichia coli (strain K12) OX=83333 GN=flgL PE=3 SV=2	flgL	0.124183007	-3.009460329	0.036746283	1.434786589
P0A9A2	Bacterial non-heme ferritin-like protein OS=Escherichia coli (strain K12) OX=83333 GN=ftnB PE=3 SV=1	ftnB	0.126797386	-2.979403095	0.001296589	2.887197633
P75937	Flagellar hook protein FlgE OS=Escherichia coli (strain K12) OX=83333 GN=flgE PE=3 SV=3	flgE	0.137908497	-2.858216749	7.01288E-07	6.154103778
P43533	Flagella synthesis protein FlgN OS=Escherichia coli (strain K12) OX=83333 GN=flgN PE=1 SV=2	flgN	0.150326797	-2.733825887	0.001322797	2.878506676
P0ABR1	DNA damage-inducible protein I OS=Escherichia coli (strain K12) OX=83333 GN=dinI PE=1 SV=1	dinI	0.159477124	-2.6485786	0.468949715	0.328873724
P26608	Flagellar secretion chaperone FliS OS=Escherichia coli (strain K12) OX=83333 GN=fliS PE=3 SV=1	fliS	0.162091503	-2.625119627	0.528256127	0.277155457
P21865	Sensor protein KdpD OS=Escherichia coli (strain K12) OX=83333 GN=kdpD PE=1 SV=2	kdpD	0.170588235	-2.551409941		#VALEUR!
P0ABH9	ATP-dependent Clp protease ATP-binding subunit ClpA OS=Escherichia coli (strain K12) OX=83333 GN=clpA PE=1 SV=1	clpA	0.174509804	-2.518620006	7.01288E-07	6.154103778
P36667	Rhamnosyltransferase WbbL OS=Escherichia coli (strain K12) OX=83333 GN=wbbL PE=1 SV=1		0.196078431	-2.350497247		#VALEUR!
P52614	Flagellar hook-length control protein OS=Escherichia coli (strain K12) OX=83333 GN=fliK PE=3 SV=1	fliK	0.196732026	-2.345696261	7.68769E-05	4.114204046
P0ACY9	Uncharacterized protein YebG OS=Escherichia coli (strain K12) OX=83333 GN=yebG PE=4 SV=1	yebG	0.20130719	-2.312529397	0.063902134	1.194484636
P0C054	Small heat shock protein IbpA OS=Escherichia coli (strain K12) OX=83333 GN=ibpA PE=1 SV=1	ibpA	0.202614379	-2.303191532	8.46501E-05	4.072372404
